ROI,module,number of triangles,weighted clustering coefficient,degree centrality,betweenness centrality
Amygdala_L,0.0,3,0.3941647476713926,0.18518518518518517,0.0
Amygdala_R,0.0,5,0.3135734574710391,0.2222222222222222,0.004083570750237418
Dorsal_striatum_L,1.0,52,0.2830404044230587,0.5555555555555556,0.03217550097891979
Dorsal_striatum_R,1.0,50,0.31057836789598053,0.5185185185185185,0.01706123095011984
Fusiform_gyrus_L,2.0,2,0.13130659340062792,0.2222222222222222,0.0324153213042102
Fusiform_gyrus_R,2.0,1,0.51557850710619,0.14814814814814814,0.0
Hippocampus_L,0.0,10,0.13135376370403604,0.37037037037037035,0.12278071722516168
Hippocampus_R,0.0,6,0.2352955249996108,0.25925925925925924,0.015744132410799076
Insula_L,2.0,55,0.20849342776248223,0.6296296296296295,0.16108715595895082
Insula_R,2.0,35,0.3043222793888352,0.4444444444444444,0.011663811022785384
Intracalcarine_cortex_L,3.0,6,0.1698970432818298,0.2962962962962963,0.03198094245102792
Intracalcarine_cortex_R,3.0,6,0.120680863435906,0.3333333333333333,0.13335449767073698
lOFC_L,3.0,3,0.3727122700469267,0.18518518518518517,0.0
lOFC_R,3.0,4,0.14967248200826622,0.25925925925925924,0.02831366164699498
mOFC_L,2.0,4,0.15734484008039018,0.25925925925925924,0.0442849647977853
mOFC_R,2.0,4,0.16354161451038554,0.25925925925925924,0.03556922659486762
Oral_somatosensory_cortex_L,1.0,35,0.425371652624812,0.4074074074074074,0.00035612535612535614
Oral_somatosensory_cortex_,1.0,53,0.2466551303300759,0.5925925925925926,0.09540181249582957
Precuneus_L,2.0,0,0,0.1111111111111111,0.0
Precuneus_R,2.0,19,0.23806555702270144,0.37037037037037035,0.07628996517885407
Ventral_striatum_L,2.0,27,0.27755855705718807,0.4074074074074074,0.01916519694297473
Ventral_striatum_R,2.0,19,0.1845377448017535,0.4074074074074074,0.08909238909238909
vlPFC_L,2.0,28,0.41736071279335063,0.37037037037037035,0.0
vlPFC_R,2.0,35,0.3806938769199312,0.4074074074074074,0.00035612535612535614
vlThalamus_L,3.0,11,0.2829748376297064,0.2962962962962963,0.0173277577123731
vlThalamus_R,2.0,12,0.2238077273049016,0.3333333333333333,0.052698354194080685
vmPFC_L,2.0,52,0.22649858980688267,0.5925925925925926,0.09573667073667076
vmPFC_R,2.0,51,0.2678724136854704,0.5555555555555556,0.048303034414145525
